Date,Price,Open,High,Low,Vol.,Change %
01/20/2022,14846.46,15176.38,15347.62,14832.69,246.53M,-1.34%
01/19/2022,15047.84,15287.25,15382.00,15038.43,228.59M,-1.07%
01/18/2022,15210.76,15378.06,15446.30,15182.96,284.38M,-2.57%
01/14/2022,15611.59,15396.47,15617.18,15396.47,214.94M,0.75%
01/13/2022,15495.62,15970.09,15990.38,15468.09,220.05M,-2.57%
01/12/2022,15905.10,15955.48,16017.39,15815.94,192.30M,0.38%
01/11/2022,15844.12,15582.72,15848.56,15496.91,214.96M,1.47%
01/10/2022,15614.43,15383.18,15627.92,15165.53,281.70M,0.14%
01/07/2022,15592.19,15774.13,15835.00,15526.80,212.83M,-1.10%
01/06/2022,15765.36,15675.22,15900.60,15608.57,229.89M,-0.04%
01/05/2022,15771.77,16190.55,16249.23,15763.84,257.52M,-3.12%
01/04/2022,16279.73,16513.87,16513.87,16151.91,241.07M,-1.35%
01/03/2022,16501.77,16395.51,16504.13,16306.64,199.76M,1.11%
12/31/2021,16320.08,16411.26,16464.62,16317.26,144.78M,-0.66%
12/30/2021,16429.10,16485.40,16569.62,16415.12,125.58M,-0.38%
12/29/2021,16491.01,16510.63,16548.92,16396.16,133.19M,0.01%
12/28/2021,16488.66,16602.92,16607.19,16458.49,136.37M,-0.48%
12/27/2021,16567.50,16361.07,16567.64,16361.07,154.76M,1.59%
12/23/2021,16308.21,16203.76,16360.75,16188.02,164.32M,0.79%
12/22/2021,16180.14,15963.54,16186.25,15947.56,166.35M,1.21%
12/21/2021,15986.28,15794.38,15997.61,15617.48,210.02M,2.29%
12/20/2021,15627.64,15566.83,15662.61,15508.74,212.52M,-1.10%
12/17/2021,15801.46,15714.54,15960.25,15664.10,606.09M,-0.39%
12/16/2021,15863.94,16335.03,16340.53,15802.64,267.11M,-2.61%
12/15/2021,16289.59,15908.45,16301.27,15746.94,249.17M,2.35%
12/14/2021,15914.90,15877.65,15995.21,15742.80,238.21M,-1.04%
12/13/2021,16082.55,16317.90,16332.63,16075.54,224.94M,-1.53%
12/10/2021,16331.98,16278.30,16339.12,16139.00,206.17M,1.13%
12/09/2021,16149.57,16337.81,16413.28,16141.39,189.74M,-1.49%
12/08/2021,16394.34,16313.88,16401.10,16250.39,208.05M,0.42%
12/07/2021,16325.66,16139.56,16343.67,16128.44,261.97M,3.03%
12/06/2021,15846.16,15744.91,15898.59,15557.78,244.53M,0.85%
12/03/2021,15712.04,16039.41,16089.61,15543.31,287.69M,-1.74%
12/02/2021,15990.76,15791.30,16066.32,15770.92,252.10M,0.71%
12/01/2021,15877.72,16347.96,16427.19,15864.00,253.55M,-1.60%
11/30/2021,16135.92,16333.95,16454.56,16073.76,412.49M,-1.61%
11/29/2021,16399.24,16263.43,16437.16,16214.56,222.80M,2.33%
11/26/2021,16025.58,16237.42,16302.58,15988.95,188.04M,-2.09%
11/24/2021,16367.81,16202.26,16370.56,16106.02,173.02M,0.37%
11/23/2021,16306.72,16330.18,16417.50,16121.69,213.56M,-0.45%
11/22/2021,16380.98,16644.77,16764.85,16374.78,240.38M,-1.16%
11/19/2021,16573.34,16558.56,16625.86,16523.83,230.31M,0.55%
11/18/2021,16482.97,16398.76,16501.92,16309.51,225.12M,1.07%
11/17/2021,16308.07,16329.07,16398.95,16276.77,184.41M,-0.01%
11/16/2021,16309.77,16170.29,16329.50,16156.69,181.24M,0.75%
11/15/2021,16189.11,16227.01,16256.73,16096.37,164.95M,-0.07%
11/12/2021,16199.89,16078.13,16218.55,16012.78,154.83M,1.04%
11/11/2021,16032.47,16114.05,16116.25,16019.39,144.38M,0.29%
11/10/2021,15985.57,16087.01,16224.51,15905.28,192.32M,-1.44%
11/09/2021,16219.93,16389.99,16401.89,16168.63,202.59M,-0.71%
11/08/2021,16336.03,16351.49,16401.93,16314.00,194.10M,-0.14%
11/05/2021,16359.38,16397.59,16454.48,16302.06,223.01M,0.08%
11/04/2021,16346.24,16193.22,16387.95,16169.56,226.44M,1.25%
11/03/2021,16144.50,16000.60,16157.60,15950.59,177.49M,1.08%
11/02/2021,15972.49,15885.34,15988.33,15877.27,175.57M,0.42%
11/01/2021,15905.28,15879.61,15910.35,15785.31,177.72M,0.35%
10/29/2021,15850.47,15638.74,15856.90,15638.74,210.86M,0.46%
10/28/2021,15778.16,15674.39,15784.00,15650.01,186.65M,1.15%
10/27/2021,15598.39,15603.16,15729.75,15578.68,197.76M,0.25%
10/26/2021,15559.49,15615.36,15710.79,15518.59,196.06M,0.29%
10/25/2021,15514.19,15417.25,15555.65,15338.49,172.55M,1.04%
10/22/2021,15355.07,15422.07,15474.28,15291.95,174.01M,-0.87%
10/21/2021,15489.59,15365.81,15497.58,15350.50,155.34M,0.66%
10/20/2021,15388.71,15448.00,15457.11,15333.43,139.67M,-0.14%
10/19/2021,15410.72,15349.45,15414.97,15320.62,140.10M,0.72%
10/18/2021,15300.89,15091.58,15307.51,15074.71,157.54M,1.02%
10/15/2021,15146.92,15106.97,15150.14,15064.59,201.85M,0.63%
10/14/2021,15052.42,14925.58,15059.89,14901.59,171.55M,1.88%
10/13/2021,14774.60,14751.80,14800.83,14676.58,162.40M,0.77%
10/12/2021,14662.11,14772.29,14784.78,14636.33,175.53M,-0.35%
10/11/2021,14713.73,14765.69,14907.57,14709.05,131.29M,-0.72%
10/08/2021,14820.75,14942.35,14948.35,14805.50,142.85M,-0.51%
10/07/2021,14897.13,14899.07,15010.32,14878.22,168.65M,0.88%
10/06/2021,14766.75,14529.89,14775.64,14499.48,174.39M,0.63%
10/05/2021,14674.15,14533.43,14763.64,14520.23,177.49M,1.40%
10/04/2021,14472.12,14713.60,14727.60,14384.93,223.38M,-2.16%
10/01/2021,14791.87,14731.38,14830.84,14555.12,192.23M,0.70%
09/30/2021,14689.62,14830.30,14888.22,14684.55,203.20M,-0.43%
09/29/2021,14752.89,14835.51,14914.92,14727.41,182.14M,-0.12%
09/28/2021,14770.30,15001.98,15040.57,14758.98,241.47M,-2.86%
09/27/2021,15204.83,15205.23,15240.58,15106.45,154.50M,-0.81%
09/24/2021,15329.68,15222.97,15345.54,15209.16,129.34M,0.09%
09/23/2021,15316.58,15231.19,15356.92,15199.43,144.60M,0.92%
09/22/2021,15176.51,15073.95,15230.34,15029.90,171.16M,0.99%
09/21/2021,15027.77,15096.98,15139.90,14986.98,153.29M,0.10%
09/20/2021,15012.18,15068.65,15157.26,14821.03,229.84M,-2.10%
09/17/2021,15333.47,15481.43,15485.21,15291.04,453.63M,-1.18%
09/16/2021,15515.91,15452.67,15539.14,15370.88,157.64M,0.08%
